"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000164587",10397.0662188207,-1.61180426916903,0.130077495740208,-12.3911077776908,2.91981901233805e-35,2.99675624331315e-31,"RPS14"
"ENSG00000156482",19422.2846065749,-1.24163692660097,0.102326187613465,-12.1341071680617,6.96657008641528e-34,3.57506960409616e-30,"RPL30"
"ENSG00000089009",26137.7388186419,-1.23308041069783,0.10438664269434,-11.8126263942455,3.3590192513204e-32,9.85008402455054e-29,"RPL6"
"ENSG00000143947",16121.5855774487,-1.44558275078518,0.125221408621936,-11.5442140980033,7.89598795970326e-31,1.47346313498935e-27,"RPS27A"
"ENSG00000280831",13531.0073383552,-1.28901875265884,0.112027786468162,-11.5062413825803,1.2271087464621e-30,2.09907176988562e-27,"RPS25"
"ENSG00000198242",17596.6207513375,-1.28926809695462,0.11277427694659,-11.4322887440477,2.88405305957711e-30,4.22863979670996e-27,"RPL23A"
"ENSG00000122406",17688.3362698439,-1.31232013247062,0.114895661722995,-11.4218423288647,3.25264716021938e-30,4.45113921718821e-27,"RPL5"
"ENSG00000265681",14430.9180549425,-1.26367145427913,0.111136537240419,-11.3704411317536,5.8690218608211e-30,7.52958823356717e-27,"RPL17"
"ENSG00000137154",27336.9519635455,-1.53141774054353,0.140248580554067,-10.9193100885121,9.32010585185303e-28,6.83263617217811e-25,"RPS6"
"ENSG00000149273",21208.8534062494,-1.21548643695329,0.111581613427492,-10.8932502373533,1.24129573574021e-27,8.78623364397909e-25,"RPS3"
"ENSG00000220842",13840.7665505193,-1.67522530301427,0.154148817049807,-10.8675845528739,1.64498253144301e-27,1.08924375557841e-24,"RPL21P16"
"ENSG00000156508",307049.476456044,-1.34769538575117,0.124765200639316,-10.8018532318737,3.37325341628864e-27,2.09826584473203e-24,"EEF1A1"
"ENSG00000108298",28467.6505361067,-1.18688189650624,0.110316016154322,-10.7589263815138,5.37932045108155e-27,3.15489459712432e-24,"RPL19"
"ENSG00000147604",26104.7906733937,-1.24802297722819,0.116364212786404,-10.7251443321242,7.75658831835541e-27,4.42276356696893e-24,"RPL7"
"ENSG00000109475",7050.49059364031,-1.41930746889389,0.13361282927573,-10.6225388429201,2.34105881391634e-26,1.20137285683152e-23,"RPL34"
"ENSG00000110700",8693.30628045418,-1.20617289511259,0.114197824977327,-10.5621354465557,4.46389464126175e-26,2.03623034002622e-23,"RPS13"
"ENSG00000147403",29215.5631607356,-1.22428234331465,0.117279598745997,-10.4390052183432,1.64525712347504e-25,6.37211188180606e-23,"RPL10"
"ENSG00000142541",41727.5279082776,-1.24098554015865,0.118960014241984,-10.4319552083634,1.77203858206063e-25,6.61357017708339e-23,"RPL13A"
"ENSG00000144713",18597.3986876356,-1.29500868323861,0.124126251378519,-10.4329959928421,1.7527301480456e-25,6.61357017708339e-23,"RPL32"
"ENSG00000142676",24301.8112899051,-1.10192728707142,0.106398458881818,-10.356609472092,3.90561753503757e-25,1.35882391765621e-22,"RPL11"
"ENSG00000008988",13740.8833872082,-1.43802820405236,0.138882515422808,-10.3542782161922,4.0019358569506e-25,1.36912895559375e-22,"RPS20"
"ENSG00000161970",13574.4235676577,-1.24821118541196,0.12061642649874,-10.3486002831049,4.24648555809385e-25,1.42897719755725e-22,"RPL26"
"ENSG00000174444",42893.515878008,-1.1729873263297,0.114379395168398,-10.2552328118429,1.12105524787655e-24,3.6526827100257e-22,"RPL4"
"ENSG00000196683",2576.66599109522,-1.27659901584648,0.124581640100054,-10.247087892094,1.21962738932887e-24,3.91176428449276e-22,"TOMM7"
"ENSG00000177954",23005.4548515213,-1.32899201176655,0.129731692351437,-10.2441584448492,1.25714103505472e-24,3.97005138870281e-22,"RPS27"
"ENSG00000125691",14029.9017755788,-1.03919013398502,0.101826080712077,-10.2055399433807,1.87276581797011e-24,5.73765133514514e-22,"RPL23"
"ENSG00000198892",90.049400573662,-3.03169636142339,0.301276264747016,-10.0628450235505,8.06338291510854e-24,2.29884807081157e-21,"SHISA4"
"ENSG00000186468",17767.8196658341,-1.3004522597784,0.129432014938462,-10.0473770758857,9.43451155238915e-24,2.61705700859313e-21,"RPS23"
"ENSG00000134419",7522.99962297844,-1.37890600036696,0.137743011058032,-10.0107148070548,1.36760794275799e-23,3.64582964168744e-21,"RPS15A"
"ENSG00000234741",1329.4432938519,-1.49975243082389,0.150279272614077,-9.97976903092494,1.86901334796669e-23,4.79565462421402e-21,"GAS5"
"ENSG00000122026",9289.62740541391,-1.65761701162822,0.166146506361879,-9.97683940472279,1.92501036050261e-23,4.87835650247371e-21,"RPL21"
"ENSG00000145425",18815.4800623139,-1.8854885194875,0.189515311819257,-9.94900359969702,2.54720729081923e-23,6.37640537300565e-21,"RPS3A"
"ENSG00000198755",13332.2879976147,-1.19627295253839,0.120513919936572,-9.92642968686109,3.19490845841277e-23,7.9014320392577e-21,"RPL10A"
"ENSG00000111796",1428.55480161456,-2.72406598876841,0.274789093694109,-9.91329732977244,3.6441671101885e-23,8.80044920833403e-21,"KLRB1"
"ENSG00000171863",10712.2513018081,-1.20342645843281,0.123482464989452,-9.7457275292942,1.92395752066531e-22,4.02990571700989e-20,"RPS7"
"ENSG00000278229",11524.9725270058,-1.1450335209082,0.117557154454693,-9.74022828486808,2.03097589044709e-22,4.12770713893143e-20,"RPS17"
"ENSG00000142937",16356.5758023977,-1.2038635951994,0.123636169786775,-9.73714728687889,2.09348744929493e-22,4.21304086977226e-20,"RPS8"
"ENSG00000182899",8172.13027433459,-1.126222418097,0.116863815620155,-9.63704986116133,5.57676441205822e-22,1.05099922330422e-19,"RPL35A"
"ENSG00000197756",11966.3763041169,-1.0317156303904,0.108099374147234,-9.54414064400763,1.37240671892971e-21,2.44968632343218e-19,"RPL37A"
"ENSG00000117543",520.846896474157,-1.04985160151498,0.110188434081883,-9.52778402073327,1.60676288481127e-21,2.81897621679665e-19,"DPH5"
"ENSG00000124614",9763.96438961645,-1.38150403652278,0.145608649934939,-9.48778824019088,2.35988098696916e-21,4.03677308495966e-19,"RPS10"
"ENSG00000254772",38338.7306952902,-1.12154904857841,0.118328829676872,-9.47824001674901,2.5860788268192e-21,4.35118361296047e-19,"EEF1G"
"ENSG00000177600",13651.704906261,-1.34730453418979,0.14302158564947,-9.42028805002824,4.49852208084046e-21,7.38729302027297e-19,"RPLP2"
"ENSG00000162630",50.5695716292392,-2.90987942562294,0.309751353285934,-9.39424281687254,5.76308353029264e-21,9.31486737215095e-19,"B3GALT2"
"ENSG00000167526",22271.3081201778,-1.25731838588164,0.13423197172534,-9.36675793196506,7.47946708697419e-21,1.19016295266914e-18,"RPL13"
