"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000143603",312.801545271655,4.49014717905906,0.361427888919716,12.4233555757964,1.95198994446776e-35,2.99675624331315e-31,"KCNN3"
"ENSG00000164045",240.400029336139,3.27876883404418,0.270046925265733,12.1414781183595,6.36654314785623e-34,3.57506960409616e-30,"CDC25A"
"ENSG00000075218",252.716792090787,2.86286591677059,0.239842588260379,11.9364368836055,7.64276019893934e-33,3.13765877207256e-29,"GTSE1"
"ENSG00000101057",2002.5153236054,3.51943519455148,0.295907335064535,11.8937071762142,1.27613838801751e-32,4.36588211513922e-29,"MYBL2"
"ENSG00000109805",509.769973958568,2.73207671054945,0.231946833930046,11.7788920170104,5.01479129092329e-32,1.28673276035978e-28,"NCAPG"
"ENSG00000094804",584.389639440225,3.38020786682632,0.289776240855816,11.6648896294717,1.92652766825923e-31,4.39398149403969e-28,"CDC6"
"ENSG00000123485",324.805449536042,2.55657955780449,0.219599579786552,11.6420056918572,2.52018374281961e-31,5.17318116888582e-28,"HJURP"
"ENSG00000186185",243.923269096043,2.72937901381246,0.237990978353526,11.4684137722148,1.90112119180141e-30,3.00187036185442e-27,"KIF18B"
"ENSG00000169679",920.977164806889,2.82275990599234,0.249249095400805,11.3250557698242,9.86160890595623e-30,1.19076027066214e-26,"BUB1"
"ENSG00000148773",3406.97967447635,2.80297393738426,0.248919831184037,11.2605489247336,2.05474807772695e-29,2.34321187730561e-26,"MKI67"
"ENSG00000170439",320.284915398194,5.4427765140806,0.48386336540782,11.2485815277485,2.35346397483447e-29,2.41547775057136e-26,"TMT1B"
"ENSG00000173334",2569.68655298927,1.30273751089861,0.115771206334644,11.2526901303331,2.24634454740465e-29,2.41547775057136e-26,"TRIB1"
"ENSG00000171848",2875.04427118274,3.03418106510354,0.270421800419754,11.2201792177769,3.24611932053833e-29,3.17300434727097e-26,"RRM2"
"ENSG00000065328",255.424061713186,2.91014456545954,0.263034866218252,11.0637217312661,1.88125948395478e-28,1.75530061032454e-25,"MCM10"
"ENSG00000170476",4487.2696627726,3.46650055884936,0.314741143887158,11.0138144509387,3.27823822387151e-28,2.92575634875698e-25,"MZB1"
"ENSG00000115884",391.951641401667,4.75526058452302,0.432233308363451,11.0016060597636,3.75385783371849e-28,3.21064332303081e-25,"SDC1"
"ENSG00000146670",431.42694408896,2.6108699624429,0.237989159172041,10.9705415638513,5.29542644443596e-28,4.34796874499748e-25,"CDCA5"
"ENSG00000145386",519.99033088941,2.29066612573726,0.208969742915906,10.9617119386469,5.83843399212127e-28,4.60944363677974e-25,"CCNA2"
"ENSG00000171241",637.956179680934,2.74012808086687,0.250392006067086,10.9433528805737,7.15055644057927e-28,5.43627674280632e-25,"SHCBP1"
"ENSG00000126787",399.46494679598,2.46156554517722,0.22633625860439,10.8757013142987,1.50493959889582e-27,1.02972983821782e-24,"DLGAP5"
"ENSG00000118193",206.744081027551,2.71467672775233,0.250093658834489,10.8546403791425,1.89551445747034e-27,1.21591328964042e-24,"KIF14"
"ENSG00000112053",1335.98815821591,3.03592520043012,0.281291035355615,10.7928260016961,3.72166091416282e-27,2.24689804661824e-24,"SLC26A8"
"ENSG00000090889",254.836765243171,2.89072252860748,0.271003642440138,10.6667294305685,1.45663570385959e-26,8.0811786738178e-24,"KIF4A"
"ENSG00000113368",9218.70597355635,1.7525585445481,0.164612362194916,10.6465791583314,1.80890717180835e-26,9.77143092518684e-24,"LMNB1"
"ENSG00000183010",173.50462847798,2.94349440006754,0.277002332052576,10.6262441123017,2.24991907765289e-26,1.1842074078713e-23,"PYCR1"
"ENSG00000188786",4736.16477915337,1.51353082616171,0.142827218218276,10.5969355494179,3.07904544808523e-26,1.54155038811818e-23,"MTF1"
"ENSG00000129538",626.888204734737,5.17534994765387,0.488873988526068,10.5862657231106,3.45084920185858e-26,1.66017283455801e-23,"RNASE1"
"ENSG00000184661",187.736971832799,2.59232316110455,0.244892882515657,10.5855390098518,3.47773332128389e-26,1.66017283455801e-23,"CDCA2"
"ENSG00000156970",365.872303779671,2.4954154079125,0.236186649946918,10.5654380062266,4.30952127109658e-26,2.01048961663181e-23,"BUB1B"
"ENSG00000196358",2453.8330090257,2.62852634789689,0.248937829976318,10.5589670647766,4.61714407210352e-26,2.06035035582758e-23,"NTNG2"
