,GSM2668066,GSM2668067,GSM2668068,GSM2668069,GSM2668070,GSM2668071,GSM2668072,GSM2668073,GSM2668074,GSM2668075,GSM2668076,GSM2668077,GSM2668078,GSM2668079,GSM2668080
ENSG00000000003,11,9,6,15,2,2,2,1,0,0,9,0,1,0,3
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,335,412,423,478,221,564,454,323,84,118,344,635,345,329,128
ENSG00000000457,260,318,265,418,135,163,186,165,45,56,103,149,206,63,39
ENSG00000000460,38,47,49,68,12,136,166,94,110,89,158,1022,133,70,93
ENSG00000000938,2146,2996,2176,2560,1178,3758,3071,4436,3374,2052,131,772,470,276,704
ENSG00000000971,56,97,106,87,103,178,157,69,91,49,706,3955,821,219,163
ENSG00000001036,168,244,203,262,90,425,567,205,470,351,196,547,245,62,189
ENSG00000001084,430,684,438,546,264,532,434,132,38,35,184,881,293,193,61
ENSG00000001167,1105,1095,961,1317,495,946,893,1398,542,93,425,2425,365,713,305
ENSG00000001460,32,23,8,29,20,52,53,21,8,30,42,45,22,21,39
ENSG00000001461,349,503,615,501,163,444,434,153,230,256,94,343,304,125,159
ENSG00000001497,815,842,880,1065,432,972,1029,471,684,343,1190,2292,1271,788,1077
ENSG00000001561,194,319,231,254,95,182,140,309,42,165,64,29,118,157,34
ENSG00000001617,0,0,0,0,0,1,1,0,1,4,3,157,3,2,16
ENSG00000001626,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000001629,363,599,451,379,125,291,155,162,29,63,29,264,182,48,29
ENSG00000001630,193,274,297,246,109,376,405,256,64,40,139,858,298,147,88
ENSG00000001631,1382,1348,1126,1354,479,437,405,300,123,112,78,777,287,114,69
ENSG00000002016,146,73,53,219,40,128,84,32,4,4,42,153,51,60,23
ENSG00000002330,153,138,119,219,137,351,279,191,585,787,320,186,216,236,199
ENSG00000002549,364,711,416,504,218,241,226,156,86,63,194,628,288,149,136
ENSG00000002586,1673,2109,2218,2796,675,592,1061,313,1023,949,413,480,4667,6373,459
ENSG00000002587,18,15,24,13,8,0,0,0,0,0,0,5,0,0,0
ENSG00000002726,0,0,0,0,6,211,26,4,342,32,1,48,2,31,145
ENSG00000002745,13,4,15,17,9,0,0,0,0,0,0,0,0,0,0
ENSG00000002746,8,9,2,10,2,3,1,3,15,3,0,0,37,3,0
ENSG00000002822,647,662,520,643,251,581,502,370,398,282,262,1489,800,313,516
ENSG00000002834,3995,3794,4146,3513,1871,4887,3266,5148,2561,2724,171,2298,1693,916,618
ENSG00000002919,121,132,124,107,69,123,125,93,133,240,29,66,59,42,51
ENSG00000002933,78,8,17,116,59,8,4,1,30,0,0,9,3,0,45
ENSG00000003056,926,1191,1449,1049,561,1340,1171,542,240,619,257,1024,1198,375,322
ENSG00000003096,5,8,7,3,5,62,8,4,4,0,0,54,39,43,5
ENSG00000003137,1,0,0,1,0,0,0,0,0,0,0,38,7,0,1
ENSG00000003147,57,46,56,61,20,1257,1285,851,1145,795,197,1195,572,70,319
ENSG00000003249,48,9,34,31,8,0,0,0,0,0,1,0,3,0,0
ENSG00000003393,129,183,177,127,93,245,333,106,25,68,83,201,290,92,70
ENSG00000003400,211,265,387,392,152,328,307,426,167,575,203,286,727,243,93
ENSG00000003402,2782,4133,3587,3199,2152,4524,3912,6781,5014,5332,3069,2778,2301,895,1141
ENSG00000003436,111,129,149,163,16,149,231,95,145,454,354,1405,1710,899,69
ENSG00000003509,272,201,324,356,111,251,234,261,107,134,185,289,141,140,100
ENSG00000003756,4376,3891,3391,3590,2908,2526,2364,2898,730,250,840,3068,2152,1230,935
ENSG00000003987,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
ENSG00000003989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000004059,243,331,288,319,135,744,758,350,1242,579,182,395,377,332,322
ENSG00000004139,113,152,238,155,70,130,120,29,42,66,12,23,154,26,87
ENSG00000004142,96,155,91,192,87,244,300,124,371,200,170,245,369,151,194
ENSG00000004399,483,746,636,584,277,520,897,225,436,112,119,2283,2305,475,677
